Data,Hora UTC,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)"
2023-02-15,0500 UTC,0.1,942.1,942.8,941.6,,24.3,18.9,25.2,24.1,19.1,18.4,77.0,69.0,73.0,145.0,10.2,4.5
2023-02-15,0400 UTC,0.2,942.1,942.8,941.6,,24.3,18.9,25.2,24.1,19.1,18.4,77.0,69.0,73.0,145.0,10.2,4.5
2023-02-15,0300 UTC,0.4,942.1,942.8,941.6,,24.3,18.9,25.2,24.1,19.1,18.4,77.0,69.0,73.0,145.0,10.2,4.5
2023-01-01,0000 UTC,0.0,938.4,938.5,937.9,,22.5,17.6,23.7,22.5,17.6,17.0,74.0,66.0,74.0,120.0,8.8,3.7
2023-01-01,0100 UTC,0.0,938.3,938.4,938.3,,21.7,17.9,22.5,21.7,17.9,17.5,79.0,74.0,79.0,115.0,6.8,3.1
2023-01-01,0200 UTC,0.0,938.1,938.4,938.1,,21.5,17.9,21.8,21.5,18.0,17.9,80.0,79.0,80.0,113.0,7.4,4.1
2023-01-01,0300 UTC,0.0,937.5,938.1,937.5,,21.5,17.9,21.7,21.2,18.0,17.8,81.0,79.0,80.0,121.0,9.0,4.8
2023-01-01,0400 UTC,0.0,936.8,937.5,936.8,,21.1,17.8,21.5,21.0,17.9,17.7,82.0,80.0,82.0,121.0,10.0,4.0
2023-01-01,0500 UTC,0.0,936.5,936.9,936.5,,21.3,17.8,21.4,21.0,18.0,17.7,82.0,81.0,81.0,115.0,6.9,2.8
2023-01-01,0600 UTC,0.0,936.3,936.5,936.3,,20.9,17.8,21.3,20.9,17.8,17.7,83.0,81.0,83.0,108.0,5.6,2.6
